GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons Geometry Enclosing,org.apache.commons.geometry.enclosing.euclidean.twod,DiskGenerator,0,276,0,6,0,35,0,6,0,3
Apache Commons Geometry Enclosing,org.apache.commons.geometry.enclosing.euclidean.twod,WelzlEncloser2D,0,7,0,0,0,2,0,1,0,1
Apache Commons Geometry Enclosing,org.apache.commons.geometry.enclosing.euclidean.threed,SphereGenerator,0,622,0,8,0,66,0,7,0,3
Apache Commons Geometry Enclosing,org.apache.commons.geometry.enclosing.euclidean.threed,WelzlEncloser3D,0,8,0,0,0,2,0,1,0,1
Apache Commons Geometry Enclosing,org.apache.commons.geometry.enclosing,EnclosingBall,0,75,0,2,0,19,0,9,0,8
Apache Commons Geometry Enclosing,org.apache.commons.geometry.enclosing,WelzlEncloser,4,205,1,19,1,45,1,14,0,5
